Title,Authors and Journal,Year,Cited by,Paper URL
The role of mitochondrial DNA background in cervical cancer precursor risk,"VK Friedrich, TG Schurr, M Hoke",2020.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:HeT0ZceujKMC
"African mitogenome diversity in 18th century Charleston, South Carolina","RE Fleskes, AA Ofunniyin, J Gilmore, GS Cabana, TG Schurr",2020.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:yMeIxYmEMEAC
Genetic Diversity in Contemporary Charleston African-Americans: Connecting Ancestral and Descendant Communities,"TG Schurr, RE Fleskes, A Oduwole, AA Ofunniyin, JK Gilmore",2020.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:KbBQZpvPDL4C
Chamorro Origins and Post-Settlement History: A bi-parental DNA analysis,"MG Vilar, F Camacho, T Schurr",2019.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:IRz6iEL74y4C
"Genetic History of Los Floridanos, Florida's First Spanish Families","TG Schurr, CB Solano, C Super, RE Fleskes",2019.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:_5tno0g5mFcC
Genetic distance,TG Schurr,2018.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:bKqednn6t2AC
Haplotype/Haplogroup,TG Schurr,2018.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:a9-T7VOCCH8C
Polymorphism,TG Schurr,2018.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:LO7wyVUgiFcC
"Ethnohistory, Social Organization and Genetic Diversity in Northwest Pakistan","TG Schurr, M Tariq, H Ahmad",2018.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:Ri6SYOTghG4C
Use of Genetics and Personal Identity: 23andME,TG Schurr,2017.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:tuHXwOkdijsC
